station_id,latitude,longitude,code_postal,ville,carburant,prix,date_maj
44000009,4720393,-154657,44200,NANTES,Gazole,0.016890000000000002,2025-07-30 00:01:00
44000009,4720393,-154657,44200,NANTES,E10,0.01726,2025-07-30 00:01:00
44000009,4720393,-154657,44200,NANTES,SP98,0.01836,2025-07-30 00:01:00
25115001,4725800,592700,25115,Pouilley-les-Vignes,Gazole,0.01619,2025-07-29 10:42:46
25115001,4725800,592700,25115,Pouilley-les-Vignes,SP95,0.016890000000000002,2025-07-29 10:42:46
25115001,4725800,592700,25115,Pouilley-les-Vignes,E85,0.006889999999999999,2025-07-29 10:42:46
25115001,4725800,592700,25115,Pouilley-les-Vignes,SP98,0.01719,2025-07-29 10:42:46
92230008,4893270,230440,92230,GENNEVILLIERS,Gazole,0.01699,2025-07-07 15:20:19
92230008,4893270,230440,92230,GENNEVILLIERS,SP95,0.01729,2025-07-07 15:20:19
92230008,4893270,230440,92230,GENNEVILLIERS,E10,0.01699,2025-06-28 09:24:04
92230008,4893270,230440,92230,GENNEVILLIERS,SP98,0.01779,2025-07-07 15:20:20
38230003,4574500,518300,38230,Tignieu-Jameyzieu,Gazole,0.01598,2025-07-30 10:00:00
38230003,4574500,518300,38230,Tignieu-Jameyzieu,SP95,0.01698,2025-07-30 10:00:00
38230003,4574500,518300,38230,Tignieu-Jameyzieu,E85,0.00697,2025-07-30 10:00:00
38230003,4574500,518300,38230,Tignieu-Jameyzieu,GPLc,0.00899,2025-07-30 10:00:00
38230003,4574500,518300,38230,Tignieu-Jameyzieu,E10,0.016579999999999998,2025-07-30 10:00:00
38230003,4574500,518300,38230,Tignieu-Jameyzieu,SP98,0.01738,2025-07-30 10:00:00
80570001,5004475,152562,80570,Dargnies,Gazole,0.01665,2025-07-12 08:30:21
80570001,5004475,152562,80570,Dargnies,SP95,0.01725,2025-07-12 08:30:22
80570001,5004475,152562,80570,Dargnies,SP98,0.017689999999999997,2025-07-12 08:30:22
89100001,4818300,330900,89100,SENS,Gazole,0.01629,2025-07-28 08:10:51
89100001,4818300,330900,89100,SENS,E85,0.00732,2025-04-29 12:14:34
89100001,4818300,330900,89100,SENS,E10,0.01679,2025-07-10 11:44:57
89100001,4818300,330900,89100,SENS,SP98,0.017390000000000003,2025-07-10 11:44:58
33114001,4462287.3062239,-78671.493393182,33114,LE BARP,Gazole,0.01629,2025-07-30 05:39:26
33114001,4462287.3062239,-78671.493393182,33114,LE BARP,E10,0.01651,2025-07-30 05:39:27
33114001,4462287.3062239,-78671.493393182,33114,LE BARP,SP98,0.01734,2025-07-30 05:39:27
34150003,4365100,354700,34150,GIGNAC,Gazole,0.01579,2025-07-30 08:30:00
34150003,4365100,354700,34150,GIGNAC,E10,0.01619,2025-07-30 08:30:00
34150003,4365100,354700,34150,GIGNAC,SP98,0.017070000000000002,2025-07-30 08:30:00
58240003,4675351.71497,314069.121289,58240,Chantenay-Saint-Imbert,Gazole,0.01636,2025-07-30 09:00:00
58240003,4675351.71497,314069.121289,58240,Chantenay-Saint-Imbert,E85,0.0072499999999999995,2025-07-30 09:00:00
58240003,4675351.71497,314069.121289,58240,Chantenay-Saint-Imbert,E10,0.01669,2025-07-30 09:00:00
58240003,4675351.71497,314069.121289,58240,Chantenay-Saint-Imbert,SP98,0.017589999999999998,2025-07-30 09:00:00
40500002,4377300,-56700,40500,Saint-Sever,Gazole,0.01599,2025-07-28 12:18:01
40500002,4377300,-56700,40500,Saint-Sever,SP95,0.016890000000000002,2025-07-28 12:18:01
40500002,4377300,-56700,40500,Saint-Sever,GPLc,0.00975,2025-03-17 11:34:11
40500002,4377300,-56700,40500,Saint-Sever,E10,0.01629,2025-07-28 12:18:01
93380009,4896609.70452,236413.094302,93380,Pierrefitte-sur-Seine,Gazole,0.01669,2025-07-30 00:01:00
93380009,4896609.70452,236413.094302,93380,Pierrefitte-sur-Seine,E85,0.00752,2025-07-30 00:01:00
93380009,4896609.70452,236413.094302,93380,Pierrefitte-sur-Seine,E10,0.01709,2025-07-30 00:01:00
